townshipFullName,countyFullName,township,county
Hanover Township,Washington County,Hanover,Washington  
Harborcreek Township,Erie County,Harborcreek,Erie  
Harford Township,Susquehanna County,Harford,Susquehanna  
Harmar Township,Allegheny County,Harmar,Allegheny  
Harmony Township,Beaver County,Harmony,Beaver  
Harmony Township,Forest County,Harmony,Forest  
Harmony Township,Susquehanna County,Harmony,Susquehanna  
Harris Township,Centre County,Harris,Centre  
Harrison Township,Allegheny County,Harrison,Allegheny  
Harrison Township,Bedford County,Harrison,Bedford  
Harrison Township,Potter County,Harrison,Potter  
Hartley Township,Union County,Hartley,Union  
Hatfield Township,Montgomery County,Hatfield,Montgomery  
Haverford Township,Delaware County,Haverford,Delaware  
Haycock Township,Bucks County,Haycock,Bucks  
Hayfield Township,Crawford County,Hayfield,Crawford  
Hazle Township,Luzerne County,Hazle,Luzerne  
Heath Township,Jefferson County,Heath,Jefferson  
Hebron Township,Potter County,Hebron,Potter  
Hector Township,Potter County,Hector,Potter  
Hegins Township,Schuylkill County,Hegins,Schuylkill  
Heidelberg Township,Berks County,Heidelberg,Berks  
Heidelberg Township,Lebanon County,Heidelberg,Lebanon  
Heidelberg Township,Lehigh County,Heidelberg,Lehigh  
Heidelberg Township,York County,Heidelberg,York  
Hellam Township,York County,Hellam,York  
Hemlock Township,Columbia County,Hemlock,Columbia  
Hempfield Township,Mercer County,Hempfield,Mercer  
Hempfield Township,Westmoreland County,Hempfield,Westmoreland  
Henderson Township,Huntingdon County,Henderson,Huntingdon  
Henderson Township,Jefferson County,Henderson,Jefferson  
Henry Clay Township,Fayette County,Henry Clay,Fayette  
Hepburn Township,Lycoming County,Hepburn,Lycoming  
Hereford Township,Berks County,Hereford,Berks  
Herrick Township,Bradford County,Herrick,Bradford  
Herrick Township,Susquehanna County,Herrick,Susquehanna  
Hickory Township,Forest County,Hickory,Forest  
Hickory Township,Lawrence County,Hickory,Lawrence  
Highland Township,Adams County,Highland,Adams  
Highland Township,Chester County,Highland,Chester  
Highland Township,Clarion County,Highland,Clarion  
Highland Township,Elk County,Highland,Elk  
Hillsgrove Township,Sullivan County,Hillsgrove,Sullivan  
Hilltown Township,Bucks County,Hilltown,Bucks  
Hollenback Township,Luzerne County,Hollenback,Luzerne  
Homer Township,Potter County,Homer,Potter  
Honey Brook Township,Chester County,Honey Brook,Chester  
Hopewell Township,Beaver County,Hopewell,Beaver  
Hopewell Township,Bedford County,Hopewell,Bedford  
Hopewell Township,Cumberland County,Hopewell,Cumberland  
Hopewell Township,Huntingdon County,Hopewell,Huntingdon  
Hopewell Township,Washington County,Hopewell,Washington  
Hopewell Township,York County,Hopewell,York  
Horsham Township,Montgomery County,Horsham,Montgomery  
Horton Township,Elk County,Horton,Elk  
Hovey Township,Armstrong County,Hovey,Armstrong  
Howard Township,Centre County,Howard,Centre  
Howe Township,Forest County,Howe,Forest  
Howe Township,Perry County,Howe,Perry  
Hubley Township,Schuylkill County,Hubley,Schuylkill  
Hunlock Township,Luzerne County,Hunlock,Luzerne  
Huntington Township,Adams County,Huntington,Adams  
Huntington Township,Luzerne County,Huntington,Luzerne  
Huston Township,Blair County,Huston,Blair  
Huston Township,Centre County,Huston,Centre  
Huston Township,Clearfield County,Huston,Clearfield  
Independence Township,Beaver County,Independence,Beaver  
Independence Township,Washington County,Independence,Washington  
Indiana Township,Allegheny County,Indiana,Allegheny  
Irwin Township,Venango County,Irwin,Venango  
Jackson Township,Butler County,Jackson,Butler  
Jackson Township,Cambria County,Jackson,Cambria  
Jackson Township,Columbia County,Jackson,Columbia  
Jackson Township,Dauphin County,Jackson,Dauphin  
Jackson Township,Greene County,Jackson,Greene  
Jackson Township,Huntingdon County,Jackson,Huntingdon  
Jackson Township,Lebanon County,Jackson,Lebanon  
Jackson Township,Luzerne County,Jackson,Luzerne  
Jackson Township,Lycoming County,Jackson,Lycoming  
Jackson Township,Mercer County,Jackson,Mercer  
Jackson Township,Monroe County,Jackson,Monroe  
Jackson Township,Northumberland County,Jackson,Northumberland  
Jackson Township,Perry County,Jackson,Perry  
Jackson Township,Snyder County,Jackson,Snyder  
Jackson Township,Susquehanna County,Jackson,Susquehanna  
Jackson Township,Tioga County,Jackson,Tioga  
Jackson Township,Venango County,Jackson,Venango  
Jackson Township,York County,Jackson,York  
Jay Township,Elk County,Jay,Elk  
Jefferson Township,Berks County,Jefferson,Berks  
Jefferson Township,Butler County,Jefferson,Butler  
Jefferson Township,Dauphin County,Jefferson,Dauphin  
Jefferson Township,Fayette County,Jefferson,Fayette  
Jefferson Township,Greene County,Jefferson,Greene  
Jefferson Township,Lackawanna County,Jefferson,Lackawanna  
Jefferson Township,Mercer County,Jefferson,Mercer  
Jefferson Township,Somerset County,Jefferson,Somerset  
Jefferson Township,Washington County,Jefferson,Washington  
Jenkins Township,Luzerne County,Jenkins,Luzerne  
Jenks Township,Forest County,Jenks,Forest  
Jenner Township,Somerset County,Jenner,Somerset  
Jessup Township,Susquehanna County,Jessup,Susquehanna  
Jones Township,Elk County,Jones,Elk  
Jordan Township,Clearfield County,Jordan,Clearfield  
Jordan Township,Lycoming County,Jordan,Lycoming  
Jordan Township,Northumberland County,Jordan,Northumberland  
Juniata Township,Bedford County,Juniata,Bedford  
Juniata Township,Blair County,Juniata,Blair  
Juniata Township,Huntingdon County,Juniata,Huntingdon  
Juniata Township,Perry County,Juniata,Perry  
Karthaus Township,Clearfield County,Karthaus,Clearfield  
Keating Township,McKean County,Keating,McKean  
Keating Township,Potter County,Keating,Potter  
Kelly Township,Union County,Kelly,Union  
Kennedy Township,Allegheny County,Kennedy,Allegheny  
Kennett Township,Chester County,Kennett,Chester  
Kidder Township,Carbon County,Kidder,Carbon  
Kilbuck Township,Allegheny County,Kilbuck,Allegheny  
Kimmel Township,Bedford County,Kimmel,Bedford  
King Township,Bedford County,King,Bedford  
Kingsley Township,Forest County,Kingsley,Forest  
Kingston Township,Luzerne County,Kingston,Luzerne  
Kiskiminetas Township,Armstrong County,Kiskiminetas,Armstrong  
Kittanning Township,Armstrong County,Kittanning,Armstrong  
Kline Township,Schuylkill County,Kline,Schuylkill  
Knox Township,Clarion County,Knox,Clarion  
Knox Township,Clearfield County,Knox,Clearfield  
Knox Township,Jefferson County,Knox,Jefferson  
La Plume Township,Lackawanna County,La Plume,Lackawanna  
Lack Township,Juniata County,Lack,Juniata  
Lackawannock Township,Mercer County,Lackawannock,Mercer  
Lackawaxen Township,Pike County,Lackawaxen,Pike  
Lafayette Township,McKean County,Lafayette,McKean  
Lake Township,Luzerne County,Lake,Luzerne  
Lake Township,Mercer County,Lake,Mercer  
Lake Township,Wayne County,Lake,Wayne  
Lamar Township,Clinton County,Lamar,Clinton  
Lancaster Township,Butler County,Lancaster,Butler  
Lancaster Township,Lancaster County,Lancaster,Lancaster  
Laporte Township,Sullivan County,Laporte,Sullivan  
Larimer Township,Somerset County,Larimer,Somerset  
Lathrop Township,Susquehanna County,Lathrop,Susquehanna  
Latimore Township,Adams County,Latimore,Adams  
Lausanne Township,Carbon County,Lausanne,Carbon  
Lawrence Park Township,Erie County,Lawrence Park,Erie  
Lawrence Township,Clearfield County,Lawrence,Clearfield  
Lawrence Township,Tioga County,Lawrence,Tioga  
Leacock Township,Lancaster County,Leacock,Lancaster  
Lebanon Township,Wayne County,Lebanon,Wayne  
LeBoeuf Township,Erie County,LeBoeuf,Erie  
Leet Township,Allegheny County,Leet,Allegheny  
Lehigh Township,Carbon County,Lehigh,Carbon  
Lehigh Township,Northampton County,Lehigh,Northampton  
Lehigh Township,Wayne County,Lehigh,Wayne  
Lehman Township,Luzerne County,Lehman,Luzerne  
Lehman Township,Pike County,Lehman,Pike  
Leidy Township,Clinton County,Leidy,Clinton  
Lemon Township,Wyoming County,Lemon,Wyoming  
Lenox Township,Susquehanna County,Lenox,Susquehanna  
Leroy Township,Bradford County,Leroy,Bradford  
Letterkenny Township,Franklin County,Letterkenny,Franklin  
Lewis Township,Lycoming County,Lewis,Lycoming  
Lewis Township,Northumberland County,Lewis,Northumberland  
Lewis Township,Union County,Lewis,Union  
Liberty Township,Adams County,Liberty,Adams  
Liberty Township,Bedford County,Liberty,Bedford  
Liberty Township,Centre County,Liberty,Centre  
Liberty Township,McKean County,Liberty,McKean  
Liberty Township,Mercer County,Liberty,Mercer  
Liberty Township,Montour County,Liberty,Montour  
Liberty Township,Susquehanna County,Liberty,Susquehanna  
Liberty Township,Tioga County,Liberty,Tioga  
Licking Creek Township,Fulton County,Licking Creek,Fulton  
Licking Township,Clarion County,Licking,Clarion  
Ligonier Township,Westmoreland County,Ligonier,Westmoreland  
Limerick Township,Montgomery County,Limerick,Montgomery  
Limestone Township,Clarion County,Limestone,Clarion  
Limestone Township,Lycoming County,Limestone,Lycoming  
Limestone Township,Montour County,Limestone,Montour  
Limestone Township,Union County,Limestone,Union  
Limestone Township,Warren County,Limestone,Warren  
Lincoln Township,Bedford County,Lincoln,Bedford  
Lincoln Township,Huntingdon County,Lincoln,Huntingdon  
Lincoln Township,Somerset County,Lincoln,Somerset  
Litchfield Township,Bradford County,Litchfield,Bradford  
Little Beaver Township,Lawrence County,Little Beaver,Lawrence  
Little Britain Township,Lancaster County,Little Britain,Lancaster  
Little Mahanoy Township,Northumberland County,Little Mahanoy,Northumberland  
Liverpool Township,Perry County,Liverpool,Perry  
Locust Township,Columbia County,Locust,Columbia  
Logan Township,Blair County,Logan,Blair  
Logan Township,Clinton County,Logan,Clinton  
Logan Township,Huntingdon County,Logan,Huntingdon  
London Britain Township,Chester County,London Britain,Chester  
London Grove Township,Chester County,London Grove,Chester  
Londonderry Township,Bedford County,Londonderry,Bedford  
Londonderry Township,Chester County,Londonderry,Chester  
Londonderry Township,Dauphin County,Londonderry,Dauphin  
Longswamp Township,Berks County,Longswamp,Berks  
Lower Allen Township,Cumberland County,Lower Allen,Cumberland  
Lower Alsace Township,Berks County,Lower Alsace,Berks  
Lower Augusta Township,Northumberland County,Lower Augusta,Northumberland  
Lower Chanceford Township,York County,Lower Chanceford,York  
Lower Chichester Township,Delaware County,Lower Chichester,Delaware  
Lower Frankford Township,Cumberland County,Lower Frankford,Cumberland  
Lower Frederick Township,Montgomery County,Lower Frederick,Montgomery  
Lower Gwynedd Township,Montgomery County,Lower Gwynedd,Montgomery  
Lower Heidelberg Township,Berks County,Lower Heidelberg,Berks  
Lower Macungie Township,Lehigh County,Lower Macungie,Lehigh  
Lower Mahanoy Township,Northumberland County,Lower Mahanoy,Northumberland  
Lower Makefield Township,Bucks County,Lower Makefield,Bucks  
Lower Merion Township,Montgomery County,Lower Merion,Montgomery  
Lower Mifflin Township,Cumberland County,Lower Mifflin,Cumberland  
Lower Milford Township,Lehigh County,Lower Milford,Lehigh  
Lower Moreland Township,Montgomery County,Lower Moreland,Montgomery  
Lower Mount Bethel Township,Northampton County,Lower Mount Bethel,Northampton  
Lower Nazareth Township,Northampton County,Lower Nazareth,Northampton  
Lower Oxford Township,Chester County,Lower Oxford,Chester  
Lower Paxton Township,Dauphin County,Lower Paxton,Dauphin  
Lower Pottsgrove Township,Montgomery County,Lower Pottsgrove,Montgomery  
Lower Providence Township,Montgomery County,Lower Providence,Montgomery  
Lower Salford Township,Montgomery County,Lower Salford,Montgomery  
Lower Saucon Township,Northampton County,Lower Saucon,Northampton  
Lower Southampton Township,Bucks County,Lower Southampton,Bucks  
Lower Swatara Township,Dauphin County,Lower Swatara,Dauphin  
Lower Towamensing Township,Carbon County,Lower Towamensing,Carbon  
Lower Turkeyfoot Township,Somerset County,Lower Turkeyfoot,Somerset  
Lower Tyrone Township,Fayette County,Lower Tyrone,Fayette  
Lower Windsor Township,York County,Lower Windsor,York  
Lower Yoder Township,Cambria County,Lower Yoder,Cambria  
Lowhill Township,Lehigh County,Lowhill,Lehigh  
Loyalhanna Township,Westmoreland County,Loyalhanna,Westmoreland  
Loyalsock Township,Lycoming County,Loyalsock,Lycoming  
Lumber Township,Cameron County,Lumber,Cameron  
Lurgan Township,Franklin County,Lurgan,Franklin  
Luzerne Township,Fayette County,Luzerne,Fayette  
Lycoming Township,Lycoming County,Lycoming,Lycoming  
Lykens Township,Dauphin County,Lykens,Dauphin  
Lynn Township,Lehigh County,Lynn,Lehigh  
Madison Township,Armstrong County,Madison,Armstrong  
Madison Township,Clarion County,Madison,Clarion  
Madison Township,Columbia County,Madison,Columbia  
Madison Township,Lackawanna County,Madison,Lackawanna  
Mahanoy Township,Schuylkill County,Mahanoy,Schuylkill  
Mahoning Township,Armstrong County,Mahoning,Armstrong  
Mahoning Township,Carbon County,Mahoning,Carbon  
Mahoning Township,Lawrence County,Mahoning,Lawrence  
Mahoning Township,Montour County,Mahoning,Montour  
Maidencreek Township,Berks County,Maidencreek,Berks  
Main Township,Columbia County,Main,Columbia  
Manchester Township,Wayne County,Manchester,Wayne  
Manchester Township,York County,Manchester,York  
Manheim Township,Lancaster County,Manheim,Lancaster  
Manheim Township,York County,Manheim,York  
Mann Township,Bedford County,Mann,Bedford  
Manor Township,Armstrong County,Manor,Armstrong  
Manor Township,Lancaster County,Manor,Lancaster  
Marion Township,Beaver County,Marion,Beaver  
Marion Township,Berks County,Marion,Berks  
Marion Township,Butler County,Marion,Butler  
Marion Township,Centre County,Marion,Centre  
Marlborough Township,Montgomery County,Marlborough,Montgomery  
Marple Township,Delaware County,Marple,Delaware  
Marshall Township,Allegheny County,Marshall,Allegheny  
Martic Township,Lancaster County,Martic,Lancaster  
Maxatawny Township,Berks County,Maxatawny,Berks  
Mayberry Township,Montour County,Mayberry,Montour  
McCalmont Township,Jefferson County,McCalmont,Jefferson  
McCandless Township,Allegheny County,McCandless,Allegheny
McHenry Township,Lycoming County,McHenry,Lycoming  
McIntyre Township,Lycoming County,McIntyre,Lycoming  
McKean Township,Erie County,McKean,Erie  
McNett Township,Lycoming County,McNett,Lycoming  
Mead Township,Warren County,Mead,Warren  
Mehoopany Township,Wyoming County,Mehoopany,Wyoming  
Menallen Township,Adams County,Menallen,Adams  
Menallen Township,Fayette County,Menallen,Fayette  
Menno Township,Mifflin County,Menno,Mifflin  
Mercer Township,Butler County,Mercer,Butler  
Meshoppen Township,Wyoming County,Meshoppen,Wyoming  
Metal Township,Franklin County,Metal,Franklin  
Middle Paxton Township,Dauphin County,Middle Paxton,Dauphin  
Middle Smithfield Township,Monroe County,Middle Smithfield,Monroe  
Middle Taylor Township,Cambria County,Middle Taylor,Cambria  
Middlebury Township,Tioga County,Middlebury,Tioga  
Middlecreek Township,Snyder County,Middlecreek,Snyder  
Middlecreek Township,Somerset County,Middlecreek,Somerset  
Middlesex Township,Butler County,Middlesex,Butler  
Middlesex Township,Cumberland County,Middlesex,Cumberland  
Middletown Township,Bucks County,Middletown,Bucks  
Middletown Township,Delaware County,Middletown,Delaware  
Middletown Township,Susquehanna County,Middletown,Susquehanna  
Mifflin Township,Columbia County,Mifflin,Columbia  
Mifflin Township,Dauphin County,Mifflin,Dauphin  
Mifflin Township,Lycoming County,Mifflin,Lycoming  
Miles Township,Centre County,Miles,Centre  
Milford Township,Bucks County,Milford,Bucks  
Milford Township,Juniata County,Milford,Juniata  
Milford Township,Pike County,Milford,Pike  
Milford Township,Somerset County,Milford,Somerset  
Mill Creek Township,Lycoming County,Mill Creek,Lycoming  
Mill Creek Township,Mercer County,Mill Creek,Mercer  
Millcreek Township,Clarion County,Millcreek,Clarion  
Millcreek Township,Erie County,Millcreek,Erie  
Millcreek Township,Lebanon County,Millcreek,Lebanon  
Miller Township,Huntingdon County,Miller,Huntingdon  
Miller Township,Perry County,Miller,Perry  
Millstone Township,Elk County,Millstone,Elk  
Mineral Township,Venango County,Mineral,Venango  
Monaghan Township,York County,Monaghan,York  
Monongahela Township,Greene County,Monongahela,Greene  
Monroe Township,Bedford County,Monroe,Bedford  
Monroe Township,Bradford County,Monroe,Bradford  
Monroe Township,Clarion County,Monroe,Clarion  
Monroe Township,Cumberland County,Monroe,Cumberland  
Monroe Township,Juniata County,Monroe,Juniata  
Monroe Township,Snyder County,Monroe,Snyder  
Monroe Township,Wyoming County,Monroe,Wyoming  
Montgomery Township,Franklin County,Montgomery,Franklin  
Montgomery Township,Indiana County,Montgomery,Indiana  
Montgomery Township,Montgomery County,Montgomery,Montgomery  
Montour Township,Columbia County,Montour,Columbia  
Moon Township,Allegheny County,Moon,Allegheny  
Moore Township,Northampton County,Moore,Northampton  
Moreland Township,Lycoming County,Moreland,Lycoming  
Morgan Township,Greene County,Morgan,Greene  
Morris Township,Clearfield County,Morris,Clearfield  
Morris Township,Greene County,Morris,Greene  
Morris Township,Huntingdon County,Morris,Huntingdon  
Morris Township,Tioga County,Morris,Tioga  
Morris Township,Washington County,Morris,Washington  
Mount Carmel Township,Northumberland County,Mount Carmel,Northumberland  
Mount Joy Township,Adams County,Mount Joy,Adams  
Mount Joy Township,Lancaster County,Mount Joy,Lancaster  
Mount Pleasant Township,Adams County,Mount Pleasant,Adams  
Mount Pleasant Township,Columbia County,Mount Pleasant,Columbia  
Mount Pleasant Township,Washington County,Mount Pleasant,Washington  
Mount Pleasant Township,Wayne County,Mount Pleasant,Wayne  
Mount Pleasant Township,Westmoreland County,Mount Pleasant,Westmoreland  
Mt. Lebanon Township,Allegheny County,Mt. Lebanon,Allegheny
Muddy Creek Township,Butler County,Muddy Creek,Butler  
Muhlenberg Township,Berks County,Muhlenberg,Berks  
Muncy Creek Township,Lycoming County,Muncy Creek,Lycoming  
Muncy Township,Lycoming County,Muncy,Lycoming  
Munster Township,Cambria County,Munster,Cambria  
Napier Township,Bedford County,Napier,Bedford  
Nelson Township,Tioga County,Nelson,Tioga  
Nescopeck Township,Luzerne County,Nescopeck,Luzerne  
Neshannock Township,Lawrence County,Neshannock,Lawrence  
Nether Providence Township,Delaware County,Nether Providence,Delaware  
Neville Township,Allegheny County,Neville,Allegheny  
New Britain Township,Bucks County,New Britain,Bucks  
New Castle Township,Schuylkill County,New Castle,Schuylkill  
New Garden Township,Chester County,New Garden,Chester  
New Hanover Township,Montgomery County,New Hanover,Montgomery  
New London Township,Chester County,New London,Chester  
New Milford Township,Susquehanna County,New Milford,Susquehanna  
New Sewickley Township,Beaver County,New Sewickley,Beaver  
New Vernon Township,Mercer County,New Vernon,Mercer  
Newberry Township,York County,Newberry,York  
Newlin Township,Chester County,Newlin,Chester  
Newport Township,Luzerne County,Newport,Luzerne  
Newton Township,Lackawanna County,Newton,Lackawanna  
Newtown Township,Bucks County,Newtown,Bucks  
Newtown Township,Delaware County,Newtown,Delaware  
Nicholson Township,Fayette County,Nicholson,Fayette  
Nicholson Township,Wyoming County,Nicholson,Wyoming  
Nippenose Township,Lycoming County,Nippenose,Lycoming  
Nockamixon Township,Bucks County,Nockamixon,Bucks  
North Abington Township,Lackawanna County,North Abington,Lackawanna  
North Annville Township,Lebanon County,North Annville,Lebanon  
North Beaver Township,Lawrence County,North Beaver,Lawrence  
North Bethlehem Township,Washington County,North Bethlehem,Washington  
North Branch Township,Wyoming County,North Branch,Wyoming  
North Buffalo Township,Armstrong County,North Buffalo,Armstrong  
North Centre Township,Columbia County,North Centre,Columbia  
North Codorus Township,York County,North Codorus,York  
North Cornwall Township,Lebanon County,North Cornwall,Lebanon  
North Coventry Township,Chester County,North Coventry,Chester  
North East Township,Erie County,North East,Erie  
North Fayette Township,Allegheny County,North Fayette,Allegheny  
North Franklin Township,Washington County,North Franklin,Washington  
North Heidelberg Township,Berks County,North Heidelberg,Berks  
North Hopewell Township,York County,North Hopewell,York  
North Huntingdon Township,Westmoreland County,North Huntingdon,Westmoreland  
North Lebanon Township,Lebanon County,North Lebanon,Lebanon  
North Londonderry Township,Lebanon County,North Londonderry,Lebanon  
North Mahoning Township,Indiana County,North Mahoning,Indiana  
North Manheim Township,Schuylkill County,North Manheim,Schuylkill  
North Middleton Township,Cumberland County,North Middleton,Cumberland  
North Newton Township,Cumberland County,North Newton,Cumberland  
North Sewickley Township,Beaver County,North Sewickley,Beaver  
North Shenango Township,Crawford County,North Shenango,Crawford  
North Strabane Township,Washington County,North Strabane,Washington  
North Towanda Township,Bradford County,North Towanda,Bradford  
North Union Township,Fayette County,North Union,Fayette  
North Union Township,Schuylkill County,North Union,Schuylkill  
North Versailles Township,Allegheny County,North Versailles,Allegheny  
North Whitehall Township,Lehigh County,North Whitehall,Lehigh  
North Woodbury Township,Blair County,North Woodbury,Blair  
Northampton Township,Bucks County,Northampton,Bucks  
Northampton Township,Somerset County,Northampton,Somerset  
Northeast Madison Township,Perry County,Northeast Madison,Perry  
Northmoreland Township,Wyoming County,Northmoreland,Wyoming  
Norwegian Township,Schuylkill County,Norwegian,Schuylkill  
Norwich Township,McKean County,Norwich,McKean  
Nottingham Township,Washington County,Nottingham,Washington  
Noxen Township,Wyoming County,Noxen,Wyoming  
Noyes Township,Clinton County,Noyes,Clinton  
Oakland Township,Butler County,Oakland,Butler  
Oakland Township,Susquehanna County,Oakland,Susquehanna  
Oakland Township,Venango County,Oakland,Venango  
Ogle Township,Somerset County,Ogle,Somerset  
O'Hara Township,Allegheny County,O'Hara,Allegheny  
Ohio Township,Allegheny County,Ohio,Allegheny  
Oil Creek Township,Crawford County,Oil Creek,Crawford  
Oilcreek Township,Venango County,Oilcreek,Venango  
Old Lycoming Township,Lycoming County,Old Lycoming,Lycoming  
Oley Township,Berks County,Oley,Berks  
Oliver Township,Jefferson County,Oliver,Jefferson  
Oliver Township,Mifflin County,Oliver,Mifflin  
Oliver Township,Perry County,Oliver,Perry  
Oneida Township,Huntingdon County,Oneida,Huntingdon  
Ontelaunee Township,Berks County,Ontelaunee,Berks  
Orange Township,Columbia County,Orange,Columbia  
Oregon Township,Wayne County,Oregon,Wayne  
Orwell Township,Bradford County,Orwell,Bradford  
Osceola Township,Tioga County,Osceola,Tioga  
Oswayo Township,Potter County,Oswayo,Potter  
Otter Creek Township,Mercer County,Otter Creek,Mercer  
Otto Township,McKean County,Otto,McKean  
Overfield Township,Wyoming County,Overfield,Wyoming  
Overton Township,Bradford County,Overton,Bradford  
Oxford Township,Adams County,Oxford,Adams  
Packer Township,Carbon County,Packer,Carbon  
Paint Township,Clarion County,Paint,Clarion  
Paint Township,Somerset County,Paint,Somerset  
Palmer Township,Northampton County,Palmer,Northampton  
Palmyra Township,Pike County,Palmyra,Pike  
Palmyra Township,Wayne County,Palmyra,Wayne  
Paradise Township,Lancaster County,Paradise,Lancaster  
Paradise Township,Monroe County,Paradise,Monroe  
Paradise Township,York County,Paradise,York  
Parker Township,Butler County,Parker,Butler  
Parks Township,Armstrong County,Parks,Armstrong  
Patterson Township,Beaver County,Patterson,Beaver  
Patton Township,Centre County,Patton,Centre  
Paupack Township,Wayne County,Paupack,Wayne  
Pavia Township,Bedford County,Pavia,Bedford  
Peach Bottom Township,York County,Peach Bottom,York  
Penn Forest Township,Carbon County,Penn Forest,Carbon  
Penn Hills Township,Allegheny County,Penn Hills,Allegheny  
Penn Township,Berks County,Penn,Berks  
Penn Township,Butler County,Penn,Butler  
Penn Township,Centre County,Penn,Centre  
Penn Township,Chester County,Penn,Chester  
Penn Township,Clearfield County,Penn,Clearfield  
Penn Township,Cumberland County,Penn,Cumberland  
Penn Township,Huntingdon County,Penn,Huntingdon  
Penn Township,Lancaster County,Penn,Lancaster  
Penn Township,Lycoming County,Penn,Lycoming  
Penn Township,Perry County,Penn,Perry  
Penn Township,Snyder County,Penn,Snyder  
Penn Township,Westmoreland County,Penn,Westmoreland  
Penn Township,York County,Penn,York  
Pennsbury Township,Chester County,Pennsbury,Chester  
Pequea Township,Lancaster County,Pequea,Lancaster  
Perkiomen Township,Montgomery County,Perkiomen,Montgomery  
Perry Township,Armstrong County,Perry,Armstrong  
Perry Township,Berks County,Perry,Berks  
Perry Township,Clarion County,Perry,Clarion  
Perry Township,Fayette County,Perry,Fayette  
Perry Township,Greene County,Perry,Greene  
Perry Township,Jefferson County,Perry,Jefferson  
Perry Township,Lawrence County,Perry,Lawrence  
Perry Township,Mercer County,Perry,Mercer  
Perry Township,Snyder County,Perry,Snyder  
Peters Township,Franklin County,Peters,Franklin  
Peters Township,Washington County,Peters,Washington  
Piatt Township,Lycoming County,Piatt,Lycoming  
Pike Township,Berks County,Pike,Berks  
Pike Township,Bradford County,Pike,Bradford  
Pike Township,Clearfield County,Pike,Clearfield  
Pike Township,Potter County,Pike,Potter  
Pine Creek Township,Clinton County,Pine Creek,Clinton  
Pine Creek Township,Jefferson County,Pine Creek,Jefferson  
Pine Grove Township,Schuylkill County,Pine Grove,Schuylkill  
Pine Grove Township,Warren County,Pine Grove,Warren  
Pine Township,Allegheny County,Pine,Allegheny  
Pine Township,Armstrong County,Pine,Armstrong  
Pine Township,Clearfield County,Pine,Clearfield  
Pine Township,Columbia County,Pine,Columbia  
Pine Township,Crawford County,Pine,Crawford  
Pine Township,Indiana County,Pine,Indiana  
Pine Township,Lycoming County,Pine,Lycoming  
Pine Township,Mercer County,Pine,Mercer  
Pinegrove Township,Venango County,Pinegrove,Venango  
Piney Township,Clarion County,Piney,Clarion  
Pittsfield Township,Warren County,Pittsfield,Warren  
Pittston Township,Luzerne County,Pittston,Luzerne  
Plain Grove Township,Lawrence County,Plain Grove,Lawrence  
Plainfield Township,Northampton County,Plainfield,Northampton  
Plains Township,Luzerne County,Plains,Luzerne  
Pleasant Township,Warren County,Pleasant,Warren  
Pleasant Valley Township,Potter County,Pleasant Valley,Potter  
Plum Township,Venango County,Plum,Venango  
Plumcreek Township,Armstrong County,Plumcreek,Armstrong  
Plumstead Township,Bucks County,Plumstead,Bucks  
Plunketts Creek Township,Lycoming County,Plunketts Creek,Lycoming  
Plymouth Township,Luzerne County,Plymouth,Luzerne  
Plymouth Township,Montgomery County,Plymouth,Montgomery  
Pocono Township,Monroe County,Pocono,Monroe  
Pocopson Township,Chester County,Pocopson,Chester  
Point Township,Northumberland County,Point,Northumberland  
Polk Township,Jefferson County,Polk,Jefferson  
Polk Township,Monroe County,Polk,Monroe  
Portage Township,Cambria County,Portage,Cambria  
Portage Township,Cameron County,Portage,Cameron  
